id,lat,lng,status,summary,rating,description,created_at,updated_at,acknowledged_at,closed_at
1558501,37.8257675170898,-122.268859863281,Acknowledged,Park Maintenance,One Very large sinkhole and one smaller (but still dangerous) hole in Grove-Shafter Dog park. ,1,2015-03-28T14:20:53-04:00,2015-03-28T14:30:22-04:00,2015-03-28T14:30:22-04:00,
1558500,36.7942101741408,-75.9981754009672,Acknowledged,Traffic Signal,The signal cycle skipped the outgoing traffic turning left from Eaglewood to Oceana multiple times. It does this periodically at different times of day,1,2015-03-28T14:20:49-04:00,2015-03-28T14:30:21-04:00,2015-03-28T14:30:21-04:00,
1558499,34.1213199868798,-117.913070032373,Open,Possible code violation,Continued construction on separate building in back of house possible living quarters.  Work done starts on Fridays and sometimes continues through the weekend. Major construction. Is this residence also utilize as business HQ for company? Unclear if city allows businesses to operate in residential area. ,1,2015-03-28T14:18:47-04:00,2015-03-28T14:18:47-04:00,,
1558498,35.0591837561493,-78.9309865706738,Acknowledged,Missed Household Trash,Second request,1,2015-03-28T14:16:25-04:00,2015-03-28T14:20:21-04:00,2015-03-28T14:20:21-04:00,
1558497,38.7194007975444,-121.358807385314,Acknowledged,Code violations,"White mustang on stand, non op hasn't moved in about a year. 8242 Palmerson drive, antelope ",2,2015-03-28T14:13:56-04:00,2015-03-28T14:34:45-04:00,2015-03-28T14:20:18-04:00,
1558496,41.8952929,-84.0209502,Open,Junk and Rubbish,At times it can be visible from the street as the bags have been torn and trash is blowing through the adjoining back yards.  There is also a soffit strip from the front porch on the side of the house in the driveway.,1,2015-03-28T14:12:33-04:00,2015-03-28T14:12:34-04:00,,
1558495,39.2511728685161,-76.8563389778137,Open,Roadway Concern,Snow plow damage to curbing at corner,1,2015-03-28T14:10:21-04:00,2015-03-28T14:10:21-04:00,,
1558494,32.8498523,-83.6469729,Closed,S-WASTE: Billing Issue,VERIFY OCCUPANCY.,3,2015-03-28T14:06:21-04:00,2015-03-28T14:20:34-04:00,2015-03-28T14:10:23-04:00,2015-03-28T14:20:34-04:00
1558493,41.9625854492188,-87.6709136962891,Acknowledged,Graffiti Removal,,1,2015-03-28T14:06:20-04:00,2015-03-28T14:30:18-04:00,2015-03-28T14:30:18-04:00,
1558492,42.396471,-83.176267,Acknowledged,Running Water in a Home or Building,,2,2015-03-28T14:05:22-04:00,2015-03-28T14:18:19-04:00,2015-03-28T14:18:19-04:00,
1558491,32.884576,-83.68817,Closed,S-WASTE: Billing Issue,VERIFY OCCUPANCY.,3,2015-03-28T14:05:12-04:00,2015-03-28T14:21:28-04:00,2015-03-28T14:10:34-04:00,2015-03-28T14:21:28-04:00
1558490,32.8303928,-83.68195,Closed,S-WASTE: Billing Issue,"VERIFY OCCUPANCY.
",3,2015-03-28T14:04:15-04:00,2015-03-28T14:21:47-04:00,2015-03-28T14:10:42-04:00,2015-03-28T14:21:47-04:00
1558488,38.8746461535129,-77.0101153612981,Acknowledged,Pothole,,1,2015-03-28T14:02:51-04:00,2015-03-28T14:10:25-04:00,2015-03-28T14:10:25-04:00,
1558487,37.904060114553,-122.061106680396,Open,Meter ate my money,Put in two quarters.  Still said expired.  Moved to new space.  At these prices they need to work!  Meter 1e corner of Carlback in front of Patelco. ,1,2015-03-28T14:00:14-04:00,2015-03-28T14:00:14-04:00,,
1558486,42.9949872338311,-71.4534714277687,Open,Other,Wall has been destroyed by city sidewalk plow. Large stones are obstructing sidewalk,1,2015-03-28T13:59:50-04:00,2015-03-28T13:59:50-04:00,,
1558484,42.4123518,-83.0476964,Acknowledged,Running Water in a Home or Building,,2,2015-03-28T13:59:37-04:00,2015-03-28T14:08:18-04:00,2015-03-28T14:08:18-04:00,
1558482,37.8281560148229,-122.268532089569,Acknowledged,Illegal Dumping,Mattresses illegally dumped along the side  of building. ,3,2015-03-28T13:57:17-04:00,2015-03-28T14:15:08-04:00,2015-03-28T14:00:19-04:00,
1558481,42.4199325544353,-70.9900752563493,Open,Pothole,Please send a crew out immediately. There's a very deep pothole and I had to help push someone's car out of the hole. It's in the right lane and there's no emergency lane here. Right before Sears at. ,1,2015-03-28T13:55:45-04:00,2015-03-28T13:55:45-04:00,,
1558480,37.779382,-122.190669,Acknowledged,Sidewalk,Trash bins on sidewalk or curb 5 days/week.  Ongoing problem for 8 months.  ,1,2015-03-28T13:55:14-04:00,2015-03-28T14:00:18-04:00,2015-03-28T14:00:18-04:00,
1558479,27.7600994746031,-82.6386578101713,Open,Codes Compliance,,1,2015-03-28T13:51:17-04:00,2015-03-28T13:51:17-04:00,,
